Measure-Key,Meta Network,
averageDistance-1,4.338,
averageDistance-2,4.338,
averageSpeed-1,0.231,
averageSpeed-2,0.231,
betweennessCentralization-1,0.033,
betweennessCentralization-2,0.033,
closenessCentralization-1,0.009,
closenessCentralization-2,0.009,
diameter-1,4039,
diameter-2,4039,
diameterReachable-1,17,
diameterReachable-2,17,
eigenvectorCentralization-1,0.130,
inClosenessCentralization-1,0,
inClosenessCentralization-2,0,
minimumSpeed-1,0.059,
minimumSpeed-2,0.059,
radialityCentrality-1,0,
radialityCentrality-2,0,
